onset	duration	trial_type
0.109	0.013	fixation
0.122	0.013	daughter
0.135	0.013	rest
0.148	0.026	three
0.174	0.026	rest
0.2	0.013	wife
0.213	0.013	rest
0.226	0.013	ten
0.239	0.013	rest
0.252	0.014	four
0.266	0.013	rest
0.279	0.013	father
0.292	0.013	rest
0.305	0.013	child
0.318	9.467	rest
9.785	2	four
11.785	11.997	rest
23.782	2.001	ten
25.783	11.997	rest
37.78	2	four
39.78	11.998	rest
51.778	2	four
53.778	11.999	rest
65.777	2	wife
67.777	11.999	rest
79.776	2	three
81.776	12	rest
93.776	2	wife
95.776	12	rest
107.776	2	ten
109.776	12.001	rest
121.777	2	four
123.777	12	rest
135.777	2	wife
137.777	12	rest
149.777	2.001	three
151.778	12	rest
163.778	2	four
165.778	12	rest
177.778	2	child
179.778	12	rest
191.778	2	wife
193.778	12	rest
205.778	2	three
207.778	12	rest
219.778	2	child
221.778	12	rest
233.778	2	wife
235.778	12	rest
247.778	2	father
249.778	12	rest
261.778	2	wife
263.778	12.001	rest
275.779	2	ten
277.779	12	rest
289.779	2	four
291.779	12	rest
303.779	2	ten
305.779	12	rest
317.779	2	four
319.779	12	rest
331.779	2	daughter
333.779	12	rest
345.779	2	four
347.779	12	rest
359.779	2	father
361.779	12	rest
373.779	2	ten
375.779	12	rest
387.779	2	four
389.779	11.986	rest
401.765	2	child
403.765	11.997	rest
415.762	2	six
417.762	11.997	rest
429.759	2	wife
431.759	11.998	rest
443.757	2	child
445.757	11.998	rest
457.755	2	father
459.755	11.999	rest
471.754	2	three
473.754	11.999	rest
485.753	2	child
487.753	11.999	rest
499.752	2	six
501.752	12	rest
513.752	2	three
515.752	12	rest
527.752	2	daughter
529.752	12	rest
541.752	2	ten
543.752	12	rest
555.752	2	daughter
557.752	12.001	rest
569.753	2	four
571.753	12	rest
583.753	2	daughter
585.753	12.001	rest
597.754	2	daughter
599.754	12	rest
611.754	2	daughter
613.754	12	rest
625.754	2	daughter
627.754	12	rest
639.754	2	father
641.754	12	rest
653.754	2	father
655.754	12	rest
667.754	2	father
669.754	12	rest
681.754	2	child
683.754	12	rest
695.754	2	daughter
697.754	12	rest
709.754	2	ten
711.754	12.001	rest
723.755	2	three
725.755	12	rest
737.755	2	child
739.755	12	rest
751.755	2.001	three
753.756	12	rest
765.756	2	three
767.756	12	rest
779.756	2	six
781.756	12	rest
793.756	2	ten
795.756	11.987	rest
807.743	2.013	child
809.756	11.986	rest
821.742	2	wife
823.742	11.997	rest
835.739	2	daughter
837.739	11.997	rest
849.736	2	wife
851.736	11.998	rest
863.734	2	six
865.734	11.998	rest
877.732	2	father
879.732	11.999	rest
891.731	2	wife
893.731	11.999	rest
905.73	2	child
907.73	11.999	rest
919.729	2.001	daughter
921.73	12	rest
933.73	2	child
935.73	12	rest
947.73	2.001	father
949.731	12	rest
961.731	2	daughter
963.731	12	rest
975.731	2	wife
977.731	12	rest
989.731	2	father
991.731	12	rest
1003.731	2	child
1005.731	12	rest
1017.731	2	child
1019.731	12	rest
1031.731	2	six
1033.731	12.001	rest
1045.732	2	father
1047.732	12	rest
1059.732	2	three
1061.732	12	rest
1073.732	2	child
1075.732	12	rest
1087.732	2	wife
1089.732	12	rest
1101.732	2	three
1103.732	12	rest
1115.732	2	four
1117.732	12	rest
1129.732	2	three
1131.732	12	rest
1143.732	2	child
1145.732	12	rest
1157.732	2	child
1159.732	12.001	rest
1171.733	2	ten
1173.733	12	rest
1185.733	2	four
1187.733	12.001	rest
1199.734	2	ten
1201.734	12	rest
1213.734	2	daughter
1215.734	11.987	rest
1227.721	2.013	wife
1229.734	11.987	rest
1241.721	2	ten
1243.721	11.997	rest
1255.718	2	ten
1257.718	11.997	rest
1269.715	2	six
1271.715	11.998	rest
1283.713	2	three
1285.713	11.998	rest
1297.711	2	wife
1299.711	11.999	rest
1311.71	2	three
1313.71	11.999	rest
1325.709	2	three
1327.709	12	rest
1339.709	2	three
1341.709	12	rest
1353.709	2	father
1355.709	12.001	rest
1367.71	2	three
1369.71	12	rest
1381.71	2.001	six
1383.711	11.999	rest
1395.71	2	three
1397.71	12	rest
1409.71	2	ten
1411.71	12	rest
1423.71	2	daughter
1425.71	12	rest
1437.71	2	four
1439.71	12	rest
1451.71	2	father
1453.71	12	rest
1465.71	2	four
1467.71	12	rest
1479.71	2	six
1481.71	12.001	rest
1493.711	2	six
1495.711	12	rest
1507.711	2	father
1509.711	12	rest
1521.711	2.001	child
1523.712	12	rest
1535.712	2	six
1537.712	12	rest
1549.712	2	daughter
1551.712	12	rest
1563.712	2	ten
1565.712	12	rest
1577.712	2	six
1579.712	12	rest
1591.712	2	four
1593.712	12	rest
1605.712	2	six
1607.712	12.001	rest
1619.713	2	wife
1621.713	12	rest
1633.713	2	daughter
1635.713	11.987	rest
1647.7	2	father
1649.7	11.997	rest
1661.697	2	wife
1663.697	11.997	rest
1675.694	2	ten
1677.694	11.997	rest
1689.691	2.001	six
1691.692	11.998	rest
1703.69	2	six
1705.69	11.998	rest
1717.688	2.001	ten
1719.689	11.999	rest
1731.688	2	six
1733.688	11.999	rest
1745.687	2	father
1747.687	12	rest
1759.687	2	wife
1761.687	12	rest
1773.687	2	six
1775.687	12	rest
1787.687	2	ten
1789.687	12	rest
